country,year,limit,Service,Alcohol_Type
Afghanistan,2016,Total ban,sale,beer
Afghanistan,2016,Total ban,sale,wine
Afghanistan,2016,Total ban,sale,spirits
Afghanistan,2016,Total ban,service,beer
Afghanistan,2016,Total ban,service,wine
Afghanistan,2016,Total ban,service,spirits
Albania,2016,18,sale,beer
Albania,2016,18,sale,wine
Albania,2016,18,sale,spirits
Albania,2016,18,service,beer
Albania,2016,18,service,wine
Albania,2016,18,service,spirits
Algeria,2016,18,sale,beer
Algeria,2016,18,sale,wine
Algeria,2016,18,sale,spirits
Algeria,2016,18,service,beer
Algeria,2016,18,service,wine
Algeria,2016,18,service,spirits
Andorra,2016,18,sale,beer
Andorra,2016,18,sale,wine
Andorra,2016,18,sale,spirits
Andorra,2016,18,service,beer
Andorra,2016,18,service,wine
Andorra,2016,18,service,spirits
Angola,2016,18,sale,beer
Angola,2016,18,sale,wine
Angola,2016,18,sale,spirits
Angola,2016,18,service,beer
Angola,2016,18,service,wine
Angola,2016,18,service,spirits
Antigua and Barbuda,2016,None,sale,beer
Antigua and Barbuda,2016,None,sale,wine
Antigua and Barbuda,2016,None,sale,spirits
Antigua and Barbuda,2016,16,service,beer
Antigua and Barbuda,2016,16,service,wine
Antigua and Barbuda,2016,16,service,spirits
Argentina,2016,18,sale,beer
Argentina,2016,18,sale,wine
Argentina,2016,18,sale,spirits
Argentina,2016,18,service,beer
Argentina,2016,18,service,wine
Argentina,2016,18,service,spirits
Armenia,2016,18,sale,beer
Armenia,2016,18,sale,wine
Armenia,2016,18,sale,spirits
Armenia,2016,18,service,beer
Armenia,2016,18,service,wine
Armenia,2016,18,service,spirits
Australia,2016,18,sale,beer
Australia,2016,18,sale,wine
Australia,2016,18,sale,spirits
Australia,2016,18,service,beer
Australia,2016,18,service,wine
Australia,2016,18,service,spirits
Austria,2016,Subnational,sale,beer
Austria,2016,Subnational,sale,wine
Austria,2016,Subnational,sale,spirits
Austria,2016,Subnational,service,beer
Austria,2016,Subnational,service,wine
Austria,2016,Subnational,service,spirits
Azerbaijan,2016,18,sale,beer
Azerbaijan,2016,18,sale,wine
Azerbaijan,2016,18,sale,spirits
Azerbaijan,2016,18,service,beer
Azerbaijan,2016,18,service,wine
Azerbaijan,2016,18,service,spirits
Bahamas,2016,18,sale,beer
Bahamas,2016,18,sale,wine
Bahamas,2016,18,sale,spirits
Bahamas,2016,18,service,beer
Bahamas,2016,18,service,wine
Bahamas,2016,18,service,spirits
Bahrain,2016,No data,sale,beer
Bahrain,2016,No data,sale,wine
Bahrain,2016,No data,sale,spirits
Bahrain,2016,No data,service,beer
Bahrain,2016,No data,service,wine
Bahrain,2016,No data,service,spirits
Bangladesh,2016,None,sale,beer
Bangladesh,2016,None,sale,wine
Bangladesh,2016,None,sale,spirits
Bangladesh,2016,None,service,beer
Bangladesh,2016,None,service,wine
Bangladesh,2016,None,service,spirits
Barbados,2016,None,sale,beer
Barbados,2016,None,sale,wine
Barbados,2016,None,sale,spirits
Barbados,2016,16,service,beer
Barbados,2016,16,service,wine
Barbados,2016,16,service,spirits
Belarus,2016,18,sale,beer
Belarus,2016,18,sale,wine
Belarus,2016,18,sale,spirits
Belarus,2016,18,service,beer
Belarus,2016,18,service,wine
Belarus,2016,18,service,spirits
Belgium,2016,16,sale,beer
Belgium,2016,16,sale,wine
Belgium,2016,18,sale,spirits
Belgium,2016,16,service,beer
Belgium,2016,16,service,wine
Belgium,2016,18,service,spirits
Belize,2016,18,sale,beer
Belize,2016,18,sale,wine
Belize,2016,18,sale,spirits
Belize,2016,18,service,beer
Belize,2016,18,service,wine
Belize,2016,18,service,spirits
Benin,2016,None,sale,beer
Benin,2016,None,sale,wine
Benin,2016,None,sale,spirits
Benin,2016,None,service,beer
Benin,2016,None,service,wine
Benin,2016,None,service,spirits
