country,year,gender,percentage
Albania,2011,All,32.0
Albania,2011,Male,42.0
Albania,2011,Female,24.0
Argentina,2011,All,21.1
Argentina,2011,Male,NA
Argentina,2011,Female,NA
Argentina,2009,All,22.1
Argentina,2009,Male,NA
Argentina,2009,Female,NA
Argentina,2007,All,24.2
Argentina,2007,Male,NA
Argentina,2007,Female,NA
Argentina,2005,All,28.9
Argentina,2005,Male,NA
Argentina,2005,Female,NA
Argentina,2001,All,31.4
Argentina,2001,Male,NA
Argentina,2001,Female,NA
Australia,2011,All,33.6
Australia,2011,Male,34.7
Australia,2011,Female,32.5
Australia,2008,All,52.2
Australia,2008,Male,52.2
Australia,2008,Female,52.2
Austria,2011,All,NA
Austria,2011,Male,NA
Austria,2011,Female,NA
Austria,2007,All,80.0
Austria,2007,Male,80.0
Austria,2007,Female,80.0
Austria,2003,All,82.0
Austria,2003,Male,82.0
Austria,2003,Female,82.0
Belgium,2011,All,69.0
Belgium,2011,Male,69.0
Belgium,2011,Female,69.0
Belgium,2007,All,70.0
Belgium,2007,Male,72.0
Belgium,2007,Female,68.0
Belgium,2003,All,77.0
Belgium,2003,Male,81.0
Belgium,2003,Female,74.0
Bolivia (Plurinational State of),2008,All,18.6
Bolivia (Plurinational State of),2008,Male,NA
Bolivia (Plurinational State of),2008,Female,NA
Bosnia and Herzegovina,2011,All,43.0
Bosnia and Herzegovina,2011,Male,54.0
Bosnia and Herzegovina,2011,Female,33.0
Bulgaria,2011,All,64.0
Bulgaria,2011,Male,66.0
Bulgaria,2011,Female,62.0
Bulgaria,2007,All,66.0
Bulgaria,2007,Male,71.0
Bulgaria,2007,Female,61.0
Bulgaria,2003,All,65.0
Bulgaria,2003,Male,69.0
Bulgaria,2003,Female,62.0
Chile,2011,All,34.7
Chile,2011,Male,34.6
Chile,2011,Female,34.9
Chile,2009,All,35.5
Chile,2009,Male,35.6
Chile,2009,Female,35.5
Chile,2007,All,38.1
Chile,2007,Male,37.9
Chile,2007,Female,38.4
Chile,2005,All,43.3
Chile,2005,Male,43.2
Chile,2005,Female,43.5
Chile,2003,All,38.7
Chile,2003,Male,39.1
Chile,2003,Female,38.4
Chile,2001,All,38.9
Chile,2001,Male,40.3
Chile,2001,Female,37.5
Colombia,2004,All,59.2
Colombia,2004,Male,NA
Colombia,2004,Female,NA
Croatia,2011,All,66.0
Croatia,2011,Male,71.0
Croatia,2011,Female,61.0
Croatia,2007,All,64.0
Croatia,2007,Male,66.0
Croatia,2007,Female,62.0
Croatia,2003,All,63.0
Croatia,2003,Male,70.0
Croatia,2003,Female,56.0
Cyprus,2011,All,70.0
Cyprus,2011,Male,78.0
Cyprus,2011,Female,62.0
Cyprus,2007,All,62.0
Cyprus,2007,Male,72.0
Cyprus,2007,Female,53.0
Cyprus,2003,All,62.0
Cyprus,2003,Male,72.0
Cyprus,2003,Female,53.0
Czechia,2011,All,79.0
Czechia,2011,Male,81.0
Czechia,2011,Female,77.0
Czechia,2007,All,76.0
Czechia,2007,Male,75.0
Czechia,2007,Female,76.0
Czechia,2003,All,77.0
Czechia,2003,Male,76.0
Czechia,2003,Female,77.0
Denmark,2011,All,76.0
Denmark,2011,Male,77.0
Denmark,2011,Female,75.0
Denmark,2007,All,NA
Denmark,2007,Male,NA
Denmark,2007,Female,NA
Denmark,2003,All,81.0
Denmark,2003,Male,83.0
Denmark,2003,Female,80.0
Dominica,2006,All,56.6
Dominica,2006,Male,NA
