Country,Gender,2018,2015,2010,2005,2000
Afghanistan,Both,0.2,0.2,0.2,NA,NA
Afghanistan,Male,0.4,0.4,0.4,NA,NA
Afghanistan,Female,0.1,0.1,0.1,NA,NA
Albania,Both,7.2,6.7,7.7,7.6,6.6
Albania,Male,11.6,10.9,12.5,12.4,10.6
Albania,Female,2.7,2.5,3.0,3.0,2.5
Algeria,Both,0.9,0.9,0.7,0.8,0.6
Algeria,Male,1.6,1.6,1.1,1.4,1.0
Algeria,Female,0.3,0.2,0.2,0.2,0.2
Andorra,Both,11.0,11.0,11.1,12.6,13.3
Andorra,Male,17.2,17.2,17.1,19.2,20.3
Andorra,Female,5.2,5.2,5.3,6.2,6.6
Angola,Both,6.9,8.0,8.2,4.9,2.8
Angola,Male,11.0,12.6,12.9,7.8,4.4
Angola,Female,3.1,3.6,3.7,2.1,1.2
Antigua and Barbuda,Both,6.4,5.9,5.6,5.4,5.1
Antigua and Barbuda,Male,10.3,9.5,9.0,8.6,8.4
Antigua and Barbuda,Female,2.9,2.7,2.5,2.4,2.3
Argentina,Both,9.7,9.6,9.1,8.7,8.7
Argentina,Male,14.9,14.8,14.1,13.5,13.7
Argentina,Female,4.7,4.7,4.4,4.2,4.2
Armenia,Both,5.5,5.8,5.7,5.8,4.2
Armenia,Male,9.1,9.6,9.4,9.5,7.0
Armenia,Female,2.5,2.7,2.6,2.7,1.9
Australia,Both,10.5,10.8,12.4,12.1,11.7
Australia,Male,16.0,16.4,18.7,18.3,17.9
Australia,Female,5.2,5.3,6.1,6.0,5.7
Austria,Both,12.0,12.1,12.2,12.8,13.1
Austria,Male,18.5,18.7,19.0,19.9,20.4
Austria,Female,5.8,5.8,5.9,6.2,6.4
Azerbaijan,Both,4.4,4.6,3.0,1.8,3.5
Azerbaijan,Male,7.5,7.8,5.1,3.1,6.0
Azerbaijan,Female,1.5,1.5,1.0,0.6,1.1
Bahamas,Both,4.8,4.6,4.1,4.3,5.6
Bahamas,Male,7.6,7.2,6.5,6.8,8.8
Bahamas,Female,2.1,2.0,1.9,2.0,2.6
Bahrain,Both,1.1,1.3,1.7,1.8,1.7
Bahrain,Male,1.5,1.8,2.3,2.5,2.5
Bahrain,Female,0.3,0.4,0.5,0.5,0.5
Bangladesh,Both,0.0,0.0,0.2,0.2,0.2
Bangladesh,Male,0.0,0.0,0.3,0.3,0.4
Bangladesh,Female,0.0,0.0,0.0,0.0,0.1
Barbados,Both,9.7,9.3,7.9,7.4,7.1
Barbados,Male,16.0,15.4,13.1,12.2,11.7
Barbados,Female,4.1,3.9,3.3,3.1,3.0
Belarus,Both,11.4,12.0,17.4,15.3,15.2
Belarus,Male,18.7,19.5,27.7,24.6,24.5
Belarus,Female,5.4,5.7,8.8,7.4,7.3
Belgium,Both,11.1,11.8,11.4,13.1,12.5
Belgium,Male,17.2,18.3,17.7,20.3,19.4
Belgium,Female,5.3,5.6,5.4,6.3,6.0
Belize,Both,6.2,6.7,7.1,7.2,5.6
Belize,Male,9.9,10.8,11.3,11.3,8.8
Belize,Female,2.6,2.8,2.9,3.0,2.3
Benin,Both,2.8,3.0,2.5,2.2,2.5
Benin,Male,4.5,4.8,4.0,3.6,4.0
Benin,Female,1.1,1.2,1.0,0.9,1.0
Bhutan,Both,0.4,0.4,0.9,1.6,2.8
Bhutan,Male,0.7,0.7,1.4,2.5,4.4
Bhutan,Female,0.2,0.2,0.3,0.6,1.0
Bolivia (Plurinational State of),Both,4.4,4.6,5.6,4.4,3.4
Bolivia (Plurinational State of),Male,6.8,7.1,8.6,6.7,5.3
Bolivia (Plurinational State of),Female,2.1,2.2,2.6,2.1,1.6
Bosnia and Herzegovina,Both,7.1,6.9,7.3,7.2,6.4
Bosnia and Herzegovina,Male,11.8,11.5,12.1,11.9,10.6
Bosnia and Herzegovina,Female,2.7,2.6,2.8,2.8,2.4
Botswana,Both,6.6,6.9,8.6,9.6,9.1
Botswana,Male,10.9,11.3,14.2,15.8,15.0
Botswana,Female,2.5,2.6,3.3,3.6,3.4
Brazil,Both,7.4,7.9,8.5,8.3,8.8
Brazil,Male,11.8,12.5,13.5,13.2,13.9
Brazil,Female,3.3,3.5,3.8,3.7,3.9
Brunei Darussalam,Both,0.5,0.5,0.5,0.2,0.2
Brunei Darussalam,Male,0.7,0.7,0.8,0.3,0.3
Brunei Darussalam,Female,0.2,0.2,0.2,0.1,0.1
Bulgaria,Both,12.7,12.3,11.3,11.4,11.8
Bulgaria,Male,20.2,19.7,18.0,18.2,18.9
Bulgaria,Female,5.7,5.5,5.1,5.1,5.2
Burkina Faso,Both,12.0,11.8,8.6,9.2,8.4
Burkina Faso,Male,20.2,19.9,14.5,15.6,14.3
Burkina Faso,Female,4.2,4.1,3.0,3.3,3.0
Burundi,Both,7.2,7.0,7.7,8.4,9.8
Burundi,Male,11.9,11.6,12.6,13.9,16.2
Burundi,Female,2.8,2.7,3.0,3.3,3.9
Cabo Verde,Both,5.6,5.9,7.5,6.9,6.0
Cabo Verde,Male,8.8,9.4,11.8,11.1,9.8
Cabo Verde,Female,2.4,2.6,3.3,3.1,2.7
Cambodia,Both,6.6,6.4,4.9,2.7,1.9
Cambodia,Male,10.9,10.5,8.1,4.4,3.1
Cambodia,Female,2.7,2.6,2.0,1.1,0.8
Cameroon,Both,5.6,6.2,8.4,7.6,6.7
Cameroon,Male,9.0,9.8,13.4,12.1,10.7
