country,year,gender,percentage
Albania,2014,All,28
Albania,2014,Male,39
Albania,2014,Female,18
Armenia,2014,All,37
Armenia,2014,Male,43
Armenia,2014,Female,33
Armenia,2010,All,41
Armenia,2010,Male,48
Armenia,2010,Female,35
Austria,2014,All,39
Austria,2014,Male,41
Austria,2014,Female,37
Austria,2010,All,44
Austria,2010,Male,47
Austria,2010,Female,42
Austria,2006,All,60
Austria,2006,Male,60
Austria,2006,Female,61
Austria,2005,All,60
Austria,2005,Male,60
Austria,2005,Female,61
Belgium,2014,All,26
Belgium,2014,Male,29
Belgium,2014,Female,22
Belgium,2010,All,44
Belgium,2010,Male,47
Belgium,2010,Female,41
Belgium,2006,All,56
Belgium,2006,Male,59
Belgium,2006,Female,52.5
Belgium,2005,All,56
Belgium,2005,Male,59
Belgium,2005,Female,52.5
Bulgaria,2014,All,34
Bulgaria,2014,Male,38
Bulgaria,2014,Female,30
Bulgaria,2006,All,44
Bulgaria,2006,Male,47
Bulgaria,2006,Female,41
Bulgaria,2005,All,44
Bulgaria,2005,Male,47
Bulgaria,2005,Female,41
Canada,2014,All,23
Canada,2014,Male,25
Canada,2014,Female,22
Canada,2010,All,33
Canada,2010,Male,35
Canada,2010,Female,31
Canada,2006,All,36
Canada,2006,Male,36
Canada,2006,Female,35
Canada,2005,All,36
Canada,2005,Male,36
Canada,2005,Female,35
Croatia,2014,All,40
Croatia,2014,Male,36
Croatia,2014,Female,33
Croatia,2010,All,50
Croatia,2010,Male,57
Croatia,2010,Female,44
Croatia,2006,All,47
Croatia,2006,Male,56
Croatia,2006,Female,39
Croatia,2005,All,47
Croatia,2005,Male,56
Croatia,2005,Female,39
Czechia,2014,All,25
Czechia,2014,Male,28
Czechia,2014,Female,22
Czechia,2010,All,58
Czechia,2010,Male,59
Czechia,2010,Female,56
Czechia,2006,All,69
Czechia,2006,Male,72
Czechia,2006,Female,65
Czechia,2005,All,69
Czechia,2005,Male,72
Czechia,2005,Female,65
Denmark,2014,All,33
Denmark,2014,Male,35
Denmark,2014,Female,32
Denmark,2010,All,45
Denmark,2010,Male,45
Denmark,2010,Female,45
Denmark,2006,All,48
Denmark,2006,Male,51
Denmark,2006,Female,45
Denmark,2005,All,48
Denmark,2005,Male,51
Denmark,2005,Female,45
Estonia,2014,All,49
Estonia,2014,Male,50
Estonia,2014,Female,47
Estonia,2010,All,62
Estonia,2010,Male,66
Estonia,2010,Female,58
Estonia,2006,All,58
Estonia,2006,Male,64
Estonia,2006,Female,52
Estonia,2005,All,58
Estonia,2005,Male,64
Estonia,2005,Female,52
Finland,2014,All,21
Finland,2014,Male,22
Finland,2014,Female,20
Finland,2010,All,28
Finland,2010,Male,27
Finland,2010,Female,29
Finland,2006,All,32
Finland,2006,Male,32
Finland,2006,Female,32
Finland,2005,All,32
Finland,2005,Male,32
Finland,2005,Female,32
France,2014,All,31
France,2014,Male,27
France,2014,Female,35
France,2006,All,31
France,2006,Male,35
France,2006,Female,27
France,2005,All,31
France,2005,Male,35
France,2005,Female,27
Germany,2014,All,37
Germany,2014,Male,36
Germany,2014,Female,37
Germany,2010,All,44
Germany,2010,Male,46
Germany,2010,Female,42
Germany,2006,All,48
Germany,2006,Male,47
Germany,2006,Female,49
Germany,2005,All,48
Germany,2005,Male,47
Germany,2005,Female,49
Greece,2014,All,43
Greece,2014,Male,47
Greece,2014,Female,38
Greece,2010,All,46
Greece,2010,Male,51
Greece,2010,Female,41
Greece,2006,All,47
Greece,2006,Male,55
Greece,2006,Female,40
Greece,2005,All,47
Greece,2005,Male,55
Greece,2005,Female,40
Hungary,2014,All,41
Hungary,2014,Male,46
Hungary,2014,Female,37
Hungary,2010,All,47
