Country,gender,alc-attri-death-liver
Afghanistan,male,5.5
Afghanistan,female,1.1
Albania,male,70.3
Albania,female,45.6
Algeria,male,22.7
Algeria,female,7
Angola,male,60.9
Angola,female,40
Antigua and Barbuda,male,67.6
Antigua and Barbuda,female,45.9
Argentina,male,72.3
Argentina,female,54.2
Armenia,male,69.2
Armenia,female,34.7
Australia,male,74.1
Australia,female,62.5
Austria,male,75.8
Austria,female,63
Azerbaijan,male,46
Azerbaijan,female,22.2
Bahamas,male,51.2
Bahamas,female,32.4
Bahrain,male,31.8
Bahrain,female,11.8
Bangladesh,male,10
Bangladesh,female,8.4
Barbados,male,72.3
Barbados,female,51.3
Belarus,male,52
Belarus,female,63.6
Belgium,male,77.1
Belgium,female,63.9
Belize,male,64.4
Belize,female,39.4
Benin,male,42.9
Benin,female,22.3
Bhutan,male,14.4
Bhutan,female,13.7
Bolivia (Plurinational State of),male,52.5
Bolivia (Plurinational State of),female,34.2
Bosnia and Herzegovina,male,68.6
Bosnia and Herzegovina,female,43
Botswana,male,67.8
Botswana,female,41.5
Brazil,male,69.5
Brazil,female,42.6
Brunei Darussalam,male,21
Brunei Darussalam,female,24.4
Bulgaria,male,79.2
Bulgaria,female,62.1
Burkina Faso,male,66.9
Burkina Faso,female,42.3
Burundi,male,66.7
Burundi,female,40.3
Cabo Verde,male,61.5
Cabo Verde,female,33.1
Cambodia,male,66.5
Cambodia,female,38
Cameroon,male,67.4
Cameroon,female,43.7
Canada,male,72.7
Canada,female,54.6
Central African Republic,male,43.3
Central African Republic,female,28.5
Chad,male,26.9
Chad,female,16
Chile,male,71
Chile,female,53.6
China,male,62.6
China,female,41.6
Colombia,male,59.9
Colombia,female,34.5
Comoros,male,24.7
Comoros,female,7
Congo,male,66.6
Congo,female,46.2
Costa Rica,male,55.7
Costa Rica,female,32.3
Côte d'Ivoire,male,68.4
Côte d'Ivoire,female,44.1
Croatia,male,73.4
Croatia,female,52.9
Cuba,male,61.3
Cuba,female,37.7
Cyprus,male,74.7
Cyprus,female,57.8
Czechia,male,80.2
Czechia,female,67.3
Democratic People's Republic of Korea,male,45.6
Democratic People's Republic of Korea,female,25.8
Democratic Republic of the Congo,male,34.1
Democratic Republic of the Congo,female,24.6
Denmark,male,74.3
Denmark,female,60.3
Djibouti,male,14.2
Djibouti,female,14
Dominican Republic,male,63.9
Dominican Republic,female,39.5
Ecuador,male,48.2
Ecuador,female,31.9
Egypt,male,15.5
Egypt,female,4.5
El Salvador,male,53.2
El Salvador,female,27.8
Equatorial Guinea,male,72.4
Equatorial Guinea,female,57.7
Eritrea,male,23
Eritrea,female,16.9
Estonia,male,50.3
Estonia,female,62.5
Eswatini,male,68.3
Eswatini,female,44.9
Ethiopia,male,43.3
Ethiopia,female,23.3
Fiji,male,45.5
Fiji,female,20.2
Finland,male,75.7
Finland,female,61.1
France,male,77.9
France,female,64.4
Gabon,male,73.1
Gabon,female,55.9
Gambia,male,49.4
Gambia,female,25.7
Georgia,male,77.4
Georgia,female,47.3
Germany,male,78.6
Germany,female,66.4
Ghana,male,39.6
Ghana,female,21.3
Greece,male,74.9
Greece,female,56.1
Grenada,male,71.6
Grenada,female,43.7
Guatemala,male,39.2
Guatemala,female,23
Guinea,male,21.3
Guinea,female,13.4
Guinea-Bissau,male,55
Guinea-Bissau,female,29.1
Guyana,male,64.8
Guyana,female,40.5
Haiti,male,60.8
Haiti,female,35.2
Honduras,male,51.5
Honduras,female,27.9
Hungary,male,77.5
Hungary,female,60.7
Iceland,male,72.8
Iceland,female,57.5
India,male,60
India,female,33.3
Indonesia,male,16.5
Indonesia,female,15.2
Iran (Islamic Republic of),male,17.2
Iran (Islamic Republic of),female,2.7
Iraq,male,15.2
Iraq,female,4.6
Ireland,male,78.2
Ireland,female,67
Israel,male,52.8
Israel,female,36.9
Italy,male,67.6
Italy,female,48.7
Jamaica,male,48.7
Jamaica,female,28.7
Japan,male,67.8
Japan,female,48.6
Jordan,male,21.5
Jordan,female,6.4
Kazakhstan,male,73.9
Kazakhstan,female,45.2
Kenya,male,47.4
Kenya,female,24.8
Kiribati,male,13.4
Kiribati,female,12.5
Kuwait,male,4.6
Kuwait,female,1.3
Kyrgyzstan,male,72.3
Kyrgyzstan,female,40.3
Lao People's Democratic Republic,male,72.7
Lao People's Democratic Republic,female,48.3
Latvia,male,51.9
Latvia,female,64.4
Lebanon,male,29.5
