Country,Action Area,2010,2011,2012,2013,2014,2015,2016
Afghanistan,Community and workplace action,NA,NA,NA,NA,NA,NA,Implemented the mhGAP Intervention Guide in 3 provinces.
Angola,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"The Ministry of Health developed what is outlined in its mental health programme involving other sectors such as the National Direction of Traffic and Transit, the National Institute of Consumer Protection and the National Institute of Drugs on developing healthy lifestyle habits."
Armenia,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,Changes in drink-driving regulations.,NA
Australia,"Leadership, awareness and commitment",Increased funding for the National Binge Drinking Strategy.,NA,One million brochures distributed through alcohol outlets at the point of sale to promote the Guidelines' message regarding alcohol use during pregnancy and breastfeeding.,NA,"The Government has committed to give funding for the implementation of the National Fetal Alcohol Spectrum Disorders (FASD) Action Plan.  Key priority activities under the Action Plan which are underway include: 	the finalisation of a FASD Diagnostic To, the 	establishment of a FASD Technical etwork, and 	development of a FASD Prevention and Health promotion resource for Aboriginal and Torres Strait Islander women.",NA,NA
Australia,Reducing the negative consequences of drinking and alcohol intoxication,"Created a programmme supporting young people affected by underage drinking who have been intercepted by police. The aim is to offer appropriate assistance through partnerships between the police and health services. This diversionary measure is aimed to facilitate youth to get ""back on track"" before more serious alcohol-related problems emerge.",NA,NA,NA,NA,NA,NA
Australia,Health services' response,NA,Established a funding pool to support prevention of substance misuse and to promote service improvement within the drug and alcohol and related sectors.,NA,NA,"The Government commissioned a strategic, whole-system review of the drug and alcohol treatment services sector (the Review) that was undertaken between July 2013 and July 2014.   The Review sought to clarify current Australian drug and alcohol treatment funding processes, current and future service needs, the gap between met and unmet demand, and planning and funding processes for the future.",NA,NA
Australia,Marketing of alcoholic beverages,NA,"Government responded to the review of food labelling law and policy,  including alcohol labelling.",NA,NA,NA,NA,NA
Australia,Monitoring and surveillance,NA,NA,NA,Established a collaborative network of alcohol and other drug research centres; National Drug and Alcohol Research Centre (NDARC) at UNSW; National Drug Research Institute (NDRI) at Curtin University; and National Centre for Education and Training on Addiction (NCETA) at Flinders University.,NA,NA,NA
Austria,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,Adoption of the first written National Strategy on the Prevention of Addiction by the Ministers' Council on 26 January 2016.
Azerbaijan,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"The Azerbaijan National Strategy for the Prevention and Control Of NCDs 2015–2020 was approved by the President of Azerbaijan in December 2015. The Strategy includes objectives related to implementing efficient and equity-based interventions in order to reduce the main modifiable risk factors for NCDs: tobacco use, harmful use of alcohol, unhealthy diet and physical inactivity. The Action Plan has a separate component related to alcohol (9.2.1.2 - Reducing harmful use of alcohol). The specific activating include to revise and update the legislation with special emphasis on the following: restricting the access of children to retailed alcohol; ensuring the enforcement of restrictions and bans on alcohol advertising; ensuring the enforcement of the ban on drink-driving; raising taxes on alcohol; updating a price/sale policy on alcohol; and conducting educational events at educational institutions about the negative impact of alcohol on health.",NA
Bahamas,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"Revision/launch of a new alcohol strategy/action plan, parliamentary commission/cross-government working group/national advisory group for alcohol."
Bangladesh,Monitoring and surveillance,Completed the NCD Risk Factor Survey Bangladesh in 2010.,NA,NA,NA,NA,NA,A national narcotics and alcohol report was published by Department of Narcotics Control.
Bangladesh,Health services' response,NA,Integrated mental health services with primary health care.,NA,NA,NA,NA,NA
Bangladesh,"Leadership, awareness and commitment",NA,NA,NA,"Created the Mental Health Act, Bangladesh and Neurodevelopmental Protection Trust Act, 2013.",NA,Created a multisectoral action plan for control and prevention of NCDs (2016-2021).,Completed a Mental Health policy draft in 2015.
Belarus,Availability of alcohol,NA,NA,NA,NA,NA,"Decree of the President of the Republic of Belarus of 20.02.2015 N 92 ""On amendments and additions to the Decree of the President of the Republic of Belarus."" Additional requirements have been set to applicants for a license to carry out wholesale trade and storage of alcoholic beverages.",NA
Belarus,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"A Decree of the Council of Ministers dated 09.06.2016 №445 ""On the Interdepartmental Council on the formation of a healthy lifestyle, control of noncommunicable diseases, prevention of alcoholism, drug addiction and consumption of tobacco and tobacco products under the Council of Ministers of the Republic of Belarus."
Belarus,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,NA,"A Decree of the Council of Ministers dated 14.03.2016 №200 on approval of the State program ""Health of the Nation and the demographic security of the Republic of Belarus"" 2016–2020."
Belgium,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,"On 1 January 2015, the legal definition of recidivist offences was adapted (the reoccurrence of any type of severe infraction (listed in the traffic law) within a period of three years). Before 2015, only a reoccurrence of the same type of offence was legally considered as recidivism. At the same time, the sanctions for recidivist offences were toughened (including mandatory psychological and medical tests, as well as theoretical and practical driving exams).",NA
Belgium,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,"Artikel 34§3 Wegverkeerswet/ Article 34§3 du code de la route [Article 34§3 Road traffic law]]. On 1 January 2015, the legal alcohol limit for professional drivers was set to 0.2 g/l (while maintaining a limit of 0.5 g/l for general population drivers).",NA
