Country,gender,alc-attri-death-traffic
Afghanistan,male,0.7
Afghanistan,female,0.5
Albania,male,37.9
Albania,female,28
Algeria,male,3.1
Algeria,female,2
Angola,male,48.7
Angola,female,42
Antigua and Barbuda,male,37.2
Antigua and Barbuda,female,21.7
Argentina,male,40.2
Argentina,female,20.8
Armenia,male,26.1
Armenia,female,19.2
Australia,male,48
Australia,female,30.9
Austria,male,47.3
Austria,female,32.4
Azerbaijan,male,17.4
Azerbaijan,female,11.2
Bahamas,male,33.3
Bahamas,female,17.1
Bahrain,male,7.2
Bahrain,female,3.8
Bangladesh,male,2
Bangladesh,female,1.1
Barbados,male,42.3
Barbados,female,32.3
Belarus,male,49.6
Belarus,female,48.9
Belgium,male,47.3
Belgium,female,31.2
Belize,male,34.9
Belize,female,20.5
Benin,male,19.8
Benin,female,13.8
Bhutan,male,21.8
Bhutan,female,13.1
Bolivia (Plurinational State of),male,35.2
Bolivia (Plurinational State of),female,22.2
Bosnia and Herzegovina,male,33.9
Bosnia and Herzegovina,female,22.1
Botswana,male,34
Botswana,female,22.6
Brazil,male,36.7
Brazil,female,23
Brunei Darussalam,male,17.4
Brunei Darussalam,female,12
Bulgaria,male,48.7
Bulgaria,female,36.3
Burkina Faso,male,30.9
Burkina Faso,female,22.2
Burundi,male,31.4
Burundi,female,24.8
Cabo Verde,male,24
Cabo Verde,female,14.3
Cambodia,male,26.1
Cambodia,female,15.3
Cameroon,male,34.2
Cameroon,female,25.9
Canada,male,38
Canada,female,22.7
Central African Republic,male,39.5
Central African Republic,female,32.6
Chad,male,17
Chad,female,12.6
Chile,male,36.5
Chile,female,25.4
China,male,35.1
China,female,22.7
Colombia,male,31.2
Colombia,female,16.8
Comoros,male,2.8
Comoros,female,1.7
Congo,male,49.2
Congo,female,41.9
Costa Rica,male,29.4
Costa Rica,female,17.4
Côte d'Ivoire,male,32.9
Côte d'Ivoire,female,23.6
Croatia,male,42.7
Croatia,female,27.9
Cuba,male,33.7
Cuba,female,24.1
Cyprus,male,41.7
Cyprus,female,28.9
Czechia,male,53
Czechia,female,40.7
Democratic People's Republic of Korea,male,28.5
Democratic People's Republic of Korea,female,15.8
Democratic Republic of the Congo,male,39.1
Democratic Republic of the Congo,female,35.4
Denmark,male,42.9
Denmark,female,26.3
Djibouti,male,14.4
Djibouti,female,9.3
Dominican Republic,male,37.8
Dominican Republic,female,23.2
Ecuador,male,34.8
Ecuador,female,23
Egypt,male,1.8
Egypt,female,1.5
El Salvador,male,22.9
El Salvador,female,17.4
Equatorial Guinea,male,58.6
Equatorial Guinea,female,53.2
Eritrea,male,15.6
Eritrea,female,10.5
Estonia,male,50.6
Estonia,female,47.5
Eswatini,male,31.4
Eswatini,female,22.6
Ethiopia,male,20.3
Ethiopia,female,14.2
Fiji,male,24
Fiji,female,19.7
Finland,male,43.4
Finland,female,28.7
France,male,45.9
France,female,39.8
Gabon,male,56.1
Gabon,female,50
Gambia,male,20.6
Gambia,female,14.4
Georgia,male,36.2
Georgia,female,24.8
Germany,male,48
Germany,female,33.7
Ghana,male,18.6
Ghana,female,13.8
Greece,male,41.9
Greece,female,30
Grenada,male,42.9
Grenada,female,25.8
Guatemala,male,22.3
Guatemala,female,13.5
Guinea,male,13.8
Guinea,female,9.3
Guinea-Bissau,male,22.1
Guinea-Bissau,female,15.8
Guyana,male,35.1
Guyana,female,21.3
Haiti,male,31.3
Haiti,female,21.5
Honduras,male,24.9
Honduras,female,18.9
Hungary,male,46.6
Hungary,female,32.3
Iceland,male,38.6
Iceland,female,28.2
India,male,33.7
India,female,18.3
Indonesia,male,12.7
Indonesia,female,8.9
Iran (Islamic Republic of),male,3.3
Iran (Islamic Republic of),female,1.6
Iraq,male,1.9
Iraq,female,1.2
Ireland,male,50.8
Ireland,female,37.7
Israel,male,32.6
Israel,female,24.1
Italy,male,36.1
Italy,female,23.9
Jamaica,male,26.7
Jamaica,female,17.4
Japan,male,32.7
Japan,female,17.5
Jordan,male,2.6
Jordan,female,1.8
Kazakhstan,male,34.2
Kazakhstan,female,31.5
Kenya,male,18.1
Kenya,female,11.7
Kiribati,male,15
Kiribati,female,8.9
Kuwait,male,0.1
Kuwait,female,0
Kyrgyzstan,male,26.3
Kyrgyzstan,female,18.5
Lao People's Democratic Republic,male,32.2
Lao People's Democratic Republic,female,22.1
Latvia,male,52.3
Latvia,female,50.6
Lebanon,male,4.8
Lebanon,female,3.3
Lesotho,male,20.5
Lesotho,female,14
Liberia,male,23.3
Liberia,female,16.5
Libya,male,0.1
Libya,female,0.1
Lithuania,male,54
Lithuania,female,52.7
Luxembourg,male,55.4
Luxembourg,female,40.3
Madagascar,male,16.9
Madagascar,female,11.6
Malawi,male,20.6
Malawi,female,15.2
Malaysia,male,17.6
Malaysia,female,10.9
Maldives,male,5.7
Maldives,female,3.7
Mali,male,16.4
Mali,female,10.3
Malta,male,39.7
Malta,female,27.9
Mauritania,male,0.1
Mauritania,female,0.1
Mauritius,male,22.3
Mauritius,female,9.9
Mexico,male,33.1
Mexico,female,24
Micronesia (Federated States of),male,19.8
Micronesia (Federated States of),female,12.5
