"","","Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%)","Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%)","Heavy episodic drinking (youth 15 -19 years), drinkers only, past 30 days (%)"
"Country","Year"," Both sexes"," Male"," Female"
"Afghanistan"," 2016","2.1 [1.5-2.9]","2.4 [1.7-3.5]","0.5 [0.4-0.8]"
"Albania"," 2016","54.9 [49.9-59.8]","66.4 [61.2-71.2]","29.7 [25.3-34.6]"
"Algeria"," 2016","22.1 [16.7-28.7]","26.7 [20.2-34.4]","7.2 [5.1-10.1]"
"Andorra"," 2016","53.1 [49.4-56.7]","67 [63.1-70.6]","30.3 [26.9-33.9]"
"Angola"," 2016","84.8 [79.2-89.2]","91.6 [87.7-94.3]","70 [60.5-78.1]"
"Antigua and Barbuda"," 2016","55.8 [50.8-60.7]","67.3 [62.2-72.1]","30.6 [26-35.7]"
"Argentina"," 2016","40.4 [33.7-47.3]","52.5 [44.6-60.3]","19.1 [14.7-24.5]"
"Armenia"," 2016","50 [45.5-54.4]","59.5 [54.7-64.2]","24 [20.6-27.7]"
"Australia"," 2016","56.2 [50.3-61.9]","70.8 [64.8-76.1]","34.1 [28.3-40.5]"
"Austria"," 2016","54.5 [50.8-58.1]","69.2 [65.5-72.8]","32.5 [28.9-36.4]"
"Azerbaijan"," 2016","43.5 [38.6-48.5]","51.4 [45.9-56.8]","18.5 [15.4-22]"
"Bahamas"," 2016","51.5 [46.4-56.6]","62.4 [56.9-67.6]","26.2 [22-30.9]"
"Bahrain"," 2016","30.3 [23.8-37.5]","35.4 [27.9-43.6]","10.5 [7.7-14.2]"
"Bangladesh"," 2016","41.5 [36-47.1]","47.4 [41.3-53.5]","16.2 [13.1-19.8]"
"Barbados"," 2016","58.7 [53.8-63.5]","70.3 [65.4-74.9]","33.7 [28.8-39]"
"Belarus"," 2016","45 [38.3-51.7]","59.7 [52-66.9]","24.1 [18.9-30.2]"
"Belgium"," 2016","54.2 [50.5-57.8]","68.6 [64.8-72.2]","31.9 [28.4-35.7]"
"Belize"," 2016","52.5 [47.4-57.5]","63.4 [57.9-68.5]","27 [22.7-31.8]"
"Benin"," 2016","40.6 [36.1-45.3]","49.3 [44.2-54.5]","17.3 [14.5-20.5]"
"Bhutan"," 2016","41.3 [36-46.8]","50 [43.9-56.1]","17.6 [14.4-21.5]"
"Bolivia (Plurinational State of)"," 2016","53.1 [43.8-62.1]","64.1 [54-73.1]","27.7 [20.1-36.8]"
"Bosnia and Herzegovina"," 2016","52.9 [47.7-57.9]","63.9 [58.4-69]","27.5 [23.1-32.3]"
"Botswana"," 2016","64.1 [59-68.9]","74.1 [69.1-78.5]","38 [32.4-43.8]"
"Brazil"," 2016","56 [47.2-64.5]","66.7 [57.3-74.9]","30 [22.3-39]"
"Brunei Darussalam"," 2016","34.8 [28.8-40.9]","42.2 [36-48]","22.1 [16.7-28.7]"
"Bulgaria"," 2016","64.1 [59.6-68.3]","76.6 [72.5-80.3]","41.3 [36.2-46.6]"
"Burkina Faso"," 2016","50.4 [45.6-55.1]","59.9 [54.8-64.9]","24.3 [20.6-28.4]"
"Burundi"," 2016","56.8 [52.5-60.9]","67.3 [62.9-71.4]","30.6 [26.6-34.8]"
"Cabo Verde"," 2016","46.3 [41.7-51]","56.1 [51-61.1]","21.5 [18.2-25.2]"
"Cambodia"," 2016","42.1 [37.7-46.5]","51 [46.1-55.9]","18.3 [15.5-21.4]"
"Cameroon"," 2016","51.8 [47-56.5]","61.7 [56.5-66.6]","25.7 [21.8-30]"
"Canada"," 2016","43.4 [39.4-47.6]","55.5 [50.8-60.1]","21.1 [18.1-24.4]"
"Central African Republic"," 2016","81.3 [74.9-86.5]","88.9 [84-92.5]","63.3 [53-72.4]"
"Chad"," 2016","37.6 [33.1-42.3]","45.7 [40.5-51]","15.3 [12.7-18.3]"
"Chile"," 2016","40 [33.3-46.9]","51.8 [43.9-59.7]","18.7 [14.4-24.1]"
"China"," 2016","49.4 [32.2-66.4]","60.8 [41.1-77.5]","24.9 [13-42.4]"
"Colombia"," 2016","47 [41.6-52.5]","57 [50.9-62.8]","22.1 [18.2-26.6]"
"Comoros"," 2016","7.3 [5.5-9.6]","8.9 [6.7-11.7]","2 [1.5-2.8]"
"Congo"," 2016","86.3 [80.9-90.3]","92.6 [89.1-95]","72.9 [63.7-80.4]"
"Cook Islands"," 2016","84.9 [81.7-87.7]","91.6 [89.5-93.4]","70.2 [64.5-75.2]"
"Costa Rica"," 2016","45.5 [40.1-51]","55.1 [49-61]","20.8 [17.1-25.1]"
"Côte d'Ivoire"," 2016","50.9 [46.1-55.6]","60.7 [55.5-65.6]","24.8 [21.1-29]"
"Croatia"," 2016","59.4 [54.7-63.9]","71.7 [67.1-76]","35.2 [30.5-40.3]"
"Cuba"," 2016","54.2 [49.2-59.1]","65 [59.7-69.9]","28.5 [24.1-33.3]"
"Cyprus"," 2016","49.7 [45.8-53.6]","62.7 [58.5-66.8]","26.5 [23.2-30.1]"
"Czechia"," 2016","68.2 [63.9-72.3]","81.1 [77.5-84.2]","47.9 [42.5-53.3]"
"Democratic People's Republic of Korea"," 2016","40.5 [24.5-58.2]","50.2 [31.2-69.2]","17.8 [8.8-32.5]"
"Democratic Republic of the Congo"," 2016","81 [74.4-86.2]","88.5 [83.5-92.2]","62.3 [52-71.6]"
"Denmark"," 2016","52 [48.3-55.6]","66.1 [62.2-69.8]","29.5 [26.2-33.1]"
"Djibouti"," 2016","45 [40.4-49.8]","53.7 [48.5-58.8]","19.9 [16.8-23.5]"
"Dominica"," 2016","55.3 [50.3-60.2]","66.3 [61-71.1]","29.6 [25.1-34.6]"
"Dominican Republic"," 2016","53.2 [48.2-58.1]","64.1 [58.7-69.1]","27.7 [23.3-32.4]"
"Ecuador"," 2016","52.9 [43.6-61.9]","63.9 [53.8-72.9]","27.5 [20-36.6]"
"Egypt"," 2016","21 [15.7-27.4]","25.3 [19-32.9]","6.8 [4.8-9.5]"
"El Salvador"," 2016","42.1 [36.7-47.5]","51.2 [45.1-57.2]","18.3 [14.9-22.3]"
"Equatorial Guinea"," 2016","90.5 [86.3-93.6]","95.6 [93.3-97.1]","82.3 [75-87.9]"
"Eritrea"," 2016","46.3 [41.7-50.9]","55 [49.9-60]","20.8 [17.6-24.4]"
"Estonia"," 2016","70.6 [63.7-76.8]","82.8 [77.2-87.3]","50.9 [42-59.6]"
"Eswatini"," 2016","64.2 [59-69]","74.1 [69.1-78.5]","38 [32.4-43.9]"
"Ethiopia"," 2016","49.2 [44.7-53.7]","58.5 [53.6-63.2]","23.2 [19.8-26.9]"
"Fiji"," 2016","68.6 [64.2-72.7]","77.2 [73.2-80.8]","42.1 [36.8-47.6]"
"Finland"," 2016","51.6 [47.9-55.2]","65.6 [61.7-69.3]","29 [25.7-32.5]"
"France"," 2016","54.2 [50.5-57.9]","68.6 [64.8-72.2]","31.9 [28.3-35.7]"
"Gabon"," 2016","89.6 [85.1-92.9]","95 [92.4-96.7]","80.1 [72.3-86.2]"
"Gambia"," 2016","41.5 [37-46.2]","50.5 [45.3-55.6]","17.9 [15-21.2]"
"Georgia"," 2016","58.1 [53.7-62.4]","68 [63.5-72.3]","31.3 [27.2-35.8]"
"Germany"," 2016","56.3 [52.6-59.9]","71.1 [67.4-74.5]","34.5 [30.7-38.5]"
"Ghana"," 2016","40.3 [35.8-45]","48.7 [43.6-53.9]","16.9 [14.2-20.1]"
"Greece"," 2016","48.8 [44.8-52.8]","61.7 [57.4-65.9]","25.7 [22.4-29.3]"
"Grenada"," 2016","57.8 [52.8-62.6]","69 [64-73.7]","32.3 [27.5-37.6]"
"Guatemala"," 2016","39.7 [34.4-45.2]","48.2 [42.2-54.4]","16.7 [13.5-20.4]"
"Guinea"," 2016","36.8 [32.3-41.4]","44.6 [39.4-49.9]","14.7 [12.2-17.6]"
"Guinea-Bissau"," 2016","43.2 [38.7-47.9]","52.5 [47.3-57.6]","19.1 [16.1-22.6]"
"Guyana"," 2016","51.8 [46.7-56.9]","62.5 [57-67.6]","26.3 [22.1-31]"
"Haiti"," 2016","49.6 [44.3-54.8]","59.6 [53.9-65.1]","24 [20-28.6]"
"Honduras"," 2016","41.9 [36.6-47.5]","50.8 [44.7-56.9]","18.1 [14.8-22.1]"
"Hungary"," 2016","63.1 [58.6-67.3]","75.9 [71.7-79.6]","40.2 [35.2-45.5]"
"Iceland"," 2016","49.2 [45.5-52.8]","62.7 [58.7-66.6]","26.5 [23.4-29.9]"
"India"," 2016","50.7 [45.1-56.3]","60.4 [54.3-66.2]","24.6 [20.3-29.5]"
"Indonesia"," 2016","33.2 [29.2-37.4]","40.2 [35.5-45.1]","12.6 [10.6-15]"
"Iran (Islamic Republic of)"," 2016","4.8 [3.5-6.5]","5.4 [3.9-7.4]","0.7 [0.5-1]"
"Iraq"," 2016","21.8 [16.5-28.3]","26.3 [19.9-33.9]","7.1 [5.1-9.9]"
"Ireland"," 2016","56.9 [53.2-60.6]","71.8 [68.1-75.2]","35.3 [31.5-39.3]"
"Israel"," 2016","39.3 [35.3-43.4]","49.7 [45-54.4]","17.5 [14.9-20.3]"
"Italy"," 2016","45.4 [41.6-49.2]","57.6 [53.3-61.7]","22.5 [19.7-25.6]"
"Jamaica"," 2016","48.4 [43.2-53.5]","58.1 [52.5-63.6]","22.9 [19.1-27.3]"
"Japan"," 2016","54.9 [47.2-62.3]","67.2 [59.1-74.4]","30.5 [23.6-38.3]"
"Jordan"," 2016","21.6 [16.2-28.1]","26.1 [19.7-33.7]","7 [5-9.8]"
"Kazakhstan"," 2016","57.3 [52.8-61.7]","67.8 [63.1-72.1]","31.1 [26.9-35.6]"
"Kenya"," 2016","49.7 [45.2-54.1]","59.1 [54.3-63.8]","23.7 [20.3-27.4]"
"Kiribati"," 2016","62.9 [58-67.5]","71.8 [67-76.2]","35.3 [30.2-40.7]"
"Kuwait"," 2016","4.4 [3.3-5.9]","5.3 [3.9-7]","1.2 [0.9-1.6]"
"Kyrgyzstan"," 2016","49.8 [45.3-54.3]","59.1 [54.2-63.9]","23.7 [20.3-27.4]"
"Lao People's Democratic Republic"," 2016","48.7 [44-53.4]","59 [53.8-64]","23.6 [20-27.5]"
"Latvia"," 2016","72.7 [66.1-78.6]","84.5 [79.3-88.6]","54 [45.2-62.5]"
"Lebanon"," 2016","23.5 [17.8-30.1]","28.7 [21.9-36.5]","7.9 [5.7-11]"
"Lesotho"," 2016","54.4 [48.9-59.8]","63.7 [57.8-69.2]","27.3 [22.7-32.5]"
"Liberia"," 2016","45.2 [40.6-49.9]","54.6 [49.4-59.7]","20.5 [17.3-24.1]"
"Libya"," 2016","2.4 [1.7-3.2]","2.9 [2.1-3.9]","0.6 [0.5-0.9]"
"Lithuania"," 2016","75.3 [69-80.8]","86.8 [82.1-90.3]","58.4 [49.7-66.7]"
"Luxembourg"," 2016","62.5 [56.7-67.9]","78.1 [73-82.5]","43.4 [36.8-50.2]"
"Madagascar"," 2016","47.1 [42.6-51.7]","56.3 [51.3-61.2]","21.6 [18.4-25.3]"
"Malawi"," 2016","50.2 [45.8-54.6]","59.8 [55-64.4]","24.1 [20.7-27.9]"
"Malaysia"," 2016","35.8 [31.3-40.4]","44.4 [39.1-49.7]","14.6 [12.1-17.5]"
"Maldives"," 2016","5.2 [3.9-6.9]","6.4 [4.8-8.4]","1.4 [1.1-1.9]"
"Mali"," 2016","37.2 [32.7-41.9]","45 [39.8-50.3]","14.9 [12.4-17.9]"
"Malta"," 2016","44.6 [40.9-48.4]","58.2 [53.9-62.3]","22.9 [20-26.1]"
"Mauritania"," 2016","4.8 [3.5-6.5]","5.8 [4.2-7.9]","1.3 [0.9-1.8]"
"Mauritius"," 2016","39.6 [35.3-44.1]","48.3 [43.3-53.3]","16.7 [14.1-19.6]"
"Mexico"," 2016","49.3 [43.8-54.7]","59.8 [53.8-65.5]","24.2 [20-28.9]"
"Micronesia (Federated States of)"," 2016","66.8 [62.3-71.1]","75.6 [71.2-79.4]","39.9 [34.6-45.4]"
"Mongolia"," 2016","54.2 [49.8-58.5]","64.3 [59.7-68.7]","27.9 [24.1-32]"
"Montenegro"," 2016","56.2 [51.3-61]","67.8 [62.8-72.5]","31.1 [26.6-36.1]"
"Morocco"," 2016","20.8 [15.5-27.2]","25 [18.7-32.6]","6.7 [4.7-9.4]"
"Mozambique"," 2016","47.9 [43.4-52.4]","57.2 [52.2-62]","22.2 [19-25.9]"
"Myanmar"," 2016","38.8 [34.6-43.1]","47.2 [42.4-52.1]","16.1 [13.6-18.9]"
"Namibia"," 2016","64.7 [59.6-69.5]","74.7 [69.8-79]","38.7 [33.1-44.6]"
"Nauru"," 2016","72.8 [68.7-76.6]","81.4 [77.8-84.5]","48.3 [42.8-53.9]"
"Nepal"," 2016","42.9 [37.5-48.4]","51.7 [45.6-57.7]","18.7 [15.2-22.6]"
"Netherlands"," 2016","50 [46.3-53.6]","63.7 [59.7-67.5]","27.3 [24.1-30.8]"
"New Zealand"," 2016","54.4 [48.5-60.2]","68.5 [62.4-74.1]","31.8 [26.3-38]"
"Nicaragua"," 2016","44.4 [38.9-50]","53.5 [47.3-59.5]","19.8 [16.1-24]"
"Niger"," 2016","35.5 [31.1-40.2]","43.3 [38.2-48.7]","14.1 [11.7-16.9]"
"Nigeria"," 2016","60.3 [55.2-65.2]","70.9 [65.9-75.5]","34.3 [29.2-39.9]"
"Niue"," 2016","77.2 [73.5-80.6]","85.4 [82.4-88]","55.7 [50-61.1]"
"Norway"," 2016","51.1 [46.6-55.5]","65.7 [60.9-70.2]","29.1 [25.1-33.4]"
"Oman"," 2016","28.3 [22.1-35.4]","33.1 [25.9-41.1]","9.6 [7-13]"
"Pakistan"," 2016","5.9 [4.3-8.2]","7.2 [5.2-9.9]","1.6 [1.2-2.3]"
"Panama"," 2016","52 [46.5-57.5]","63.1 [57.1-68.7]","26.8 [22.2-32]"
"Papua New Guinea"," 2016","64.7 [59.9-69.1]","73.4 [68.8-77.6]","37.2 [32-42.6]"
"Paraguay"," 2016","54.2 [45.3-62.8]","64.4 [54.9-73]","28 [20.7-36.7]"
"Peru"," 2016","57 [47.8-65.7]","68.6 [58.9-76.8]","31.8 [23.5-41.5]"
"Philippines"," 2016","43.2 [38.8-47.6]","52.1 [47.2-57]","18.9 [16.1-22.1]"
"Poland"," 2016","63.5 [59-67.8]","76.3 [72.2-80]","40.9 [35.8-46.2]"
"Portugal"," 2016","51.5 [47.5-55.5]","65.4 [61.2-69.5]","28.9 [25.3-32.7]"
"Qatar"," 2016","51.1 [39.6-62.2]","57.1 [44.8-68.6]","22.2 [14.8-31.8]"
"Republic of Korea"," 2016","58.5 [50.8-65.8]","70.9 [63.1-77.7]","34.4 [26.8-42.8]"
"Republic of Moldova"," 2016","50.1 [43.4-56.8]","63.1 [55.8-69.9]","26.8 [21.3-33.2]"
"North Macedonia"," 2016","55.8 [50.9-60.6]","67.5 [62.4-72.2]","30.8 [26.3-35.8]"
"Romania"," 2016","64.3 [59.9-68.5]","77 [73-80.6]","41.8 [36.7-47.1]"
"Russian Federation"," 2016","72.4 [32.2-94.2]","85.1 [44.9-97.6]","55.1 [14.9-89.6]"
"Rwanda"," 2016","59.8 [55.6-63.9]","70.4 [66.2-74.3]","33.8 [29.5-38.3]"
"Saint Kitts and Nevis"," 2016","59.6 [54.7-64.3]","71.3 [66.5-75.8]","34.8 [29.8-40.1]"
"Saint Lucia"," 2016","58.1 [53.1-63]","69.9 [64.8-74.5]","33.2 [28.2-38.5]"
"Saint Vincent and the Grenadines"," 2016","55.8 [50.8-60.7]","67 [61.8-71.8]","30.3 [25.7-35.3]"
"Samoa"," 2016","67.7 [63.2-71.9]","76.2 [71.9-79.9]","40.6 [35.4-46.1]"
