"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan"," Data source"," All types","0.01","0.03","0.02","0.03","0.02","","","","",""
"Afghanistan"," Data source"," Beer","0.01","0.01","0.01","0.01","0.01","","","","",""
"Afghanistan"," Data source"," Wine","0","0.00","0.01","0.01","0.00","","","","",""
"Afghanistan"," Data source"," Spirits","0","0.02","0.00","0.01","0.01","","","","",""
"Afghanistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","","","","",""
"Albania"," Data source"," All types","5.79","5.56","5.46","5.17","4.98","4.42","4.33","3.96","4.51","3.92"
"Albania"," Data source"," Beer","2.21","2.13","1.94","1.79","1.65","1.38","1.45","1.29","1.49","1.33"
"Albania"," Data source"," Wine","1.06","0.97","1.06","1.00","1.02","0.82","0.58","0.40","0.80","0.42"
"Albania"," Data source"," Spirits","2.41","2.35","2.35","2.28","2.22","2.14","2.22","2.18","2.13","2.08"
"Albania"," Data source"," Other alcoholic beverages","0.12","0.11","0.11","0.10","0.09","0.09","0.09","0.09","0.09","0.09"
"Algeria"," Data source"," All types","0.43","0.37","0.34","0.38","0.50","0.45","0.33","0.36","0.23","0.25"
"Algeria"," Data source"," Beer","0.20","0.20","0.17","0.18","0.30","0.24","0.19","0.17","0.10","0.12"
"Algeria"," Data source"," Wine","0.19","0.14","0.14","0.18","0.18","0.18","0.12","0.18","0.12","0.13"
"Algeria"," Data source"," Spirits","0.04","0.02","0.03","0.02","0.02","0.03","0.02","0.01","0.01","0"
"Algeria"," Data source"," Other alcoholic beverages","0.00","0","0.00","0","0","0","0","0","0","0"
"Andorra"," Data source"," All types","10.86","10.96","11.53","11.89","11.82","12.23","12.25","12.16","13.08","12.77"
"Andorra"," Data source"," Beer","3.20","3.15","3.31","3.34","3.23","3.16","3.19","3.03","3.13","3.04"
"Andorra"," Data source"," Wine","4.87","4.91","5.19","5.57","5.64","5.90","5.98","6.26","6.40","6.52"
"Andorra"," Data source"," Spirits","2.64","2.74","2.88","2.88","2.80","3.02","2.90","2.66","3.34","2.99"
"Andorra"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Angola"," Data source"," All types","6.12","5.19","4.68","4.02","3.49","2.41","2.20","2.08","1.94","1.47"
"Angola"," Data source"," Beer","3.95","3.27","2.91","2.73","2.40","1.44","1.32","1.31","1.19","0.90"
"Angola"," Data source"," Wine","0.90","1.36","1.24","1.20","1.01","0.77","0.69","0.57","0.56","0.38"
"Angola"," Data source"," Spirits","1.24","0.55","0.51","0.07","0.07","0.18","0.18","0.18","0.18","0.18"
"Angola"," Data source"," Other alcoholic beverages","0.03","0.03","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Antigua and Barbuda"," Data source"," All types","7.64","8.41","8.11","7.70","7.44","6.72","6.91","6.67","6.85","6.86"
"Antigua and Barbuda"," Data source"," Beer","2.71","2.77","2.73","2.44","2.24","1.82","1.73","1.63","1.75","1.78"
"Antigua and Barbuda"," Data source"," Wine","1.64","2.00","1.76","1.62","1.59","1.40","1.49","1.33","1.26","1.23"
"Antigua and Barbuda"," Data source"," Spirits","3.04","3.34","3.33","3.35","3.31","3.22","3.69","3.71","3.84","3.84"
"Antigua and Barbuda"," Data source"," Other alcoholic beverages","0.25","0.29","0.29","0.29","0.29","0.28","0","0","0","0"
"Argentina"," Data source"," All types","8.34","8.42","8.16","7.80","7.60","7.63","7.62","7.81","7.76","7.68"
"Argentina"," Data source"," Beer","3.23","3.16","2.75","2.57","2.42","2.04","2.03","2.08","1.90","1.79"
"Argentina"," Data source"," Wine","4.31","4.45","4.65","4.67","4.64","5.03","5.08","5.28","5.32","5.30"
"Argentina"," Data source"," Spirits","0.41","0.44","0.44","0.30","0.32","0.52","0.46","0.41","0.49","0.52"
