"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"
"Afghanistan"," Data source"," All types","0.01","0.01","0.02","0.00","0.01","0.01","0.01","0.01","0.01"
"Afghanistan"," Data source"," Beer","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01"
"Afghanistan"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Afghanistan"," Data source"," Spirits","0.01","0.01","0.01","0.00","0.01","0.00","0.00","0.00","0.00"
"Afghanistan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0","0","0","0","0","0"
"Albania"," Data source"," All types","4.70","4.75","4.67","4.54","4.33","4.54","4.74","5.42","5.28"
"Albania"," Data source"," Beer","1.60","1.60","1.49","1.45","1.27","1.33","1.34","1.88","1.72"
"Albania"," Data source"," Wine","1.30","1.30","1.27","1.10","1.00","1.07","1.12","1.08","1.08"
"Albania"," Data source"," Spirits","1.72","1.77","1.83","1.90","1.98","2.06","2.19","2.37","2.36"
"Albania"," Data source"," Other alcoholic beverages","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.10","0.12"
"Algeria"," Data source"," All types","0.58","0.58","0.60","0.58","0.54","0.50","0.43","0.40","0.35"
"Algeria"," Data source"," Beer","0.30","0.30","0.32","0.31","0.28","0.26","0.23","0.21","0.18"
"Algeria"," Data source"," Wine","0.18","0.18","0.18","0.17","0.16","0.14","0.13","0.13","0.13"
"Algeria"," Data source"," Spirits","0.10","0.10","0.10","0.10","0.10","0.10","0.07","0.06","0.04"
"Algeria"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0.00","0.00","0"
"Andorra"," Data source"," All types","9.75","9.93","9.94","9.85","9.89","10.07","10.34","10.46","10.58"
"Andorra"," Data source"," Beer","3.66","3.55","3.41","3.32","3.29","2.97","3.14","3.11","3.14"
"Andorra"," Data source"," Wine","3.69","3.96","4.03","4.12","4.13","4.61","4.73","4.73","4.75"
"Andorra"," Data source"," Spirits","2.31","2.33","2.40","2.31","2.32","2.34","2.36","2.52","2.59"
"Andorra"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Angola"," Data source"," All types","5.35","5.47","5.38","5.94","7.49","7.01","7.14","6.95","6.83"
"Angola"," Data source"," Beer","3.64","3.64","3.39","3.26","4.50","4.47","4.61","4.44","4.24"
"Angola"," Data source"," Wine","0.64","0.59","0.73","1.24","1.28","1.00","1.01","0.96","0.95"
"Angola"," Data source"," Spirits","0.99","1.15","1.17","1.34","1.58","1.43","1.42","1.44","1.49"
"Angola"," Data source"," Other alcoholic beverages","0.08","0.09","0.09","0.10","0.12","0.12","0.11","0.11","0.14"
"Antigua and Barbuda"," Data source"," All types","8.72","7.73","7.55","7.59","7.39","7.62","7.44","7.28","7.41"
"Antigua and Barbuda"," Data source"," Beer","2.71","2.71","2.66","2.58","2.49","2.53","2.58","2.63","2.66"
"Antigua and Barbuda"," Data source"," Wine","1.08","1.11","1.19","1.23","1.27","1.32","1.33","1.37","1.50"
"Antigua and Barbuda"," Data source"," Spirits","4.53","3.63","3.46","3.54","3.38","3.52","3.28","3.03","3.00"
"Antigua and Barbuda"," Data source"," Other alcoholic beverages","0.39","0.28","0.24","0.24","0.25","0.25","0.26","0.26","0.25"
"Argentina"," Data source"," All types","8.22","8.22","8.31","8.43","7.87","8.20","7.92","7.61","8.15"
"Argentina"," Data source"," Beer","3.59","3.59","3.59","3.37","3.34","3.32","3.26","3.46","3.32"
"Argentina"," Data source"," Wine","2.86","3.14","3.10","3.38","3.19","3.48","3.49","3.11","3.91"
"Argentina"," Data source"," Spirits","0.72","0.67","0.76","0.81","0.55","0.52","0.48","0.46","0.45"
"Argentina"," Data source"," Other alcoholic beverages","0.72","0.81","0.85","0.87","0.79","0.88","0.70","0.59","0.47"
"Armenia"," Data source"," All types","3.71","3.83","3.82","4.04","4.22","3.92","3.89","4.07","4.23"
"Armenia"," Data source"," Beer","0.49","0.49","0.42","0.49","0.52","0.43","0.25","0.34","0.40"
"Armenia"," Data source"," Wine","0.38","0.38","0.30","0.22","0.22","0.28","0.25","0.31","0.24"
"Armenia"," Data source"," Spirits","2.83","2.96","3.10","3.33","3.48","3.21","3.38","3.42","3.58"
"Armenia"," Data source"," Other alcoholic beverages","0.01","0.01","0.00","0.00","0.01","0.01","0.01","0.01","0.01"
"Australia"," Data source"," All types","9.51","9.49","9.79","9.68","9.90","10.00","10.03","10.30","10.52"
"Australia"," Data source"," Beer","3.71","3.68","3.87","3.76","4.02","4.04","4.14","4.31","4.51"
"Australia"," Data source"," Wine","3.67","3.74","3.79","3.80","3.76","3.79","3.78","3.79","3.87"
"Australia"," Data source"," Spirits","1.32","1.23","1.25","1.22","1.23","1.29","1.26","1.34","1.30"
"Australia"," Data source"," Other alcoholic beverages","0.81","0.84","0.88","0.90","0.89","0.88","0.85","0.86","0.84"
"Austria"," Data source"," All types","11.80","11.70","11.70","11.60","12.20","11.60","12.10","11.90","12.10"
"Austria"," Data source"," Beer","6.40","6.20","6.20","6.00","6.30","6.00","6.30","6.10","6.10"
"Austria"," Data source"," Wine","3.60","3.60","3.70","3.60","4.20","3.90","4.10","4.10","4.30"
"Austria"," Data source"," Spirits","1.90","1.90","1.90","1.90","1.70","1.70","1.70","1.70","1.70"
"Austria"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Azerbaijan"," Data source"," All types","2.92","2.92","3.05","4.14","2.00","2.08","2.01","1.97","1.92"
"Azerbaijan"," Data source"," Beer","0.31","0.31","0.24","0.30","0.20","0.32","0.29","0.29","0.29"
"Azerbaijan"," Data source"," Wine","0.13","0.13","0.15","0.13","0.15","0.15","0.15","0.15","0.15"
"Azerbaijan"," Data source"," Spirits","2.48","2.48","2.66","3.71","1.64","1.60","1.55","1.52","1.47"
"Azerbaijan"," Data source"," Other alcoholic beverages","0.00","0.00","0.01","0.00","0.01","0.01","0.01","0.01","0.01"
"Bahamas"," Data source"," All types","8.90","8.84","8.69","8.71","8.78","8.64","8.72","8.81","8.72"
"Bahamas"," Data source"," Beer","3.43","3.43","3.41","3.39","3.53","3.47","3.41","3.34","3.23"
"Bahamas"," Data source"," Wine","1.40","1.38","1.38","1.37","1.36","1.35","1.36","1.40","1.39"
"Bahamas"," Data source"," Spirits","3.78","3.74","3.60","3.61","3.54","3.46","3.56","3.68","3.69"
"Bahamas"," Data source"," Other alcoholic beverages","0.29","0.29","0.30","0.34","0.36","0.36","0.38","0.39","0.41"
"Bahrain"," Data source"," All types","1.23","1.25","1.39","1.53","1.57","1.65","1.72","1.66","1.96"
"Bahrain"," Data source"," Beer","0.37","0.37","0.38","0.39","0.38","0.37","0.36","0.34","0.46"
"Bahrain"," Data source"," Wine","0.10","0.10","0.11","0.11","0.10","0.09","0.09","0.09","0.11"
"Bahrain"," Data source"," Spirits","0.73","0.75","0.87","1.00","1.06","1.17","1.25","1.22","1.37"
"Bahrain"," Data source"," Other alcoholic beverages","0.02","0.02","0.03","0.02","0.02","0.02","0.02","0.01","0.02"
"Bangladesh"," Data source"," All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bangladesh"," Data source"," Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bangladesh"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0"
"Bangladesh"," Data source"," Spirits","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Bangladesh"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Barbados"," Data source"," All types","9.35","9.39","9.27","9.00","8.86","8.63","8.59","8.39","8.25"
"Barbados"," Data source"," Beer","3.65","3.65","3.53","3.44","3.48","3.46","3.44","3.37","3.33"
"Barbados"," Data source"," Wine","0.68","0.69","0.67","0.70","0.66","0.66","0.68","0.69","0.69"
"Barbados"," Data source"," Spirits","4.85","4.88","4.88","4.68","4.53","4.33","4.28","4.12","4.02"
"Barbados"," Data source"," Other alcoholic beverages","0.18","0.17","0.18","0.18","0.18","0.19","0.20","0.21","0.21"
"Belarus"," Data source"," All types","10.09","9.75","9.70","9.72","11.21","12.49","13.47","14.41","14.34"
"Belarus"," Data source"," Beer","2.18","2.05","2.06","1.99","2.15","2.34","2.18","2.29","2.36"
"Belarus"," Data source"," Wine","0.91","0.85","0.80","0.75","0.84","0.84","0.76","0.73","0.75"
"Belarus"," Data source"," Spirits","4.53","4.48","4.49","4.21","4.73","5.37","6.54","6.39","5.91"
"Belarus"," Data source"," Other alcoholic beverages","2.48","2.37","2.36","2.77","3.50","3.94","4.00","5.01","5.32"
"Belgium"," Data source"," All types","9.42","9.42","9.42","10.36","10.57","10.33","10.09","10.14","10.27"
"Belgium"," Data source"," Beer","4.46","4.46","4.46","4.60","4.72","4.60","4.78","4.89","5.03"
"Belgium"," Data source"," Wine","3.47","3.47","3.47","3.97","3.97","3.87","3.72","3.71","3.72"
"Belgium"," Data source"," Spirits","1.15","1.15","1.15","1.47","1.47","1.42","1.54","1.49","1.48"
"Belgium"," Data source"," Other alcoholic beverages","0.34","0.34","0.34","0.32","0.41","0.44","0.05","0.05","0.05"
"Belize"," Data source"," All types","5.61","5.76","6.11","6.26","6.19","6.17","6.25","6.29","6.43"
"Belize"," Data source"," Beer","4.04","4.04","4.19","4.29","4.18","4.18","4.21","4.26","4.35"
"Belize"," Data source"," Wine","0.18","0.18","0.19","0.17","0.17","0.17","0.17","0.18","0.18"
"Belize"," Data source"," Spirits","1.25","1.42","1.59","1.65","1.69","1.68","1.72","1.71","1.75"
"Belize"," Data source"," Other alcoholic beverages","0.14","0.13","0.15","0.14","0.14","0.15","0.16","0.14","0.15"
"Benin"," Data source"," All types","1.37","1.37","1.46","1.56","1.59","1.44","1.48","1.50","1.42"
"Benin"," Data source"," Beer","0.87","0.87","0.95","1.03","1.04","0.92","0.99","0.82","0.70"
"Benin"," Data source"," Wine","0.06","0.06","0.08","0.09","0.11","0.09","0.13","0.22","0.25"
"Benin"," Data source"," Spirits","0.21","0.21","0.21","0.21","0.21","0.21","0.15","0.16","0.17"
"Benin"," Data source"," Other alcoholic beverages","0.22","0.22","0.22","0.22","0.22","0.22","0.21","0.29","0.30"
"Bhutan"," Data source"," All types","0.06","0.06","0.02","0.04","0.19","0.28","0.30","0.23","0.22"
"Bhutan"," Data source"," Beer","0.01","0.01","0.01","0.04","0.04","0.23","0.17","0.15","0.11"
"Bhutan"," Data source"," Wine","0.05","0.05","0.00","0.00","0.00","0.00","0.01","0.01","0.01"
"Bhutan"," Data source"," Spirits","0","0","0","0","0.15","0.05","0.12","0.07","0.10"
"Bhutan"," Data source"," Other alcoholic beverages","0","0","0","0.00","0.00","0","0","0","0"
"Bolivia (Plurinational State of)"," Data source"," All types","3.34","3.34","3.41","3.44","3.48","3.53","3.58","3.64","3.71"
"Bolivia (Plurinational State of)"," Data source"," Beer","2.54","2.54","2.60","2.65","2.70","2.69","2.77","2.85","2.97"
"Bolivia (Plurinational State of)"," Data source"," Wine","0.14","0.14","0.16","0.13","0.13","0.16","0.14","0.16","0.16"
"Bolivia (Plurinational State of)"," Data source"," Spirits","0.58","0.58","0.58","0.60","0.59","0.63","0.62","0.60","0.57"
"Bolivia (Plurinational State of)"," Data source"," Other alcoholic beverages","0.08","0.08","0.07","0.07","0.05","0.05","0.04","0.04","0.02"
"Bosnia and Herzegovina"," Data source"," All types","4.99","4.97","4.81","4.73","4.64","4.59","4.76","4.67","4.55"
