"Country","Action Area","Data Source","2016"
"Austria","","","Pilot project on alcolocks: alcolocks were installed in lorries to test their manageability and acceptance in commuter traffic."
"Austria","Leadership, awareness and commitment","","Adoption of the first written National Strategy on the Prevention of Addiction by the Ministers' Council on 26 January 2016."
"Belarus","Leadership, awareness and commitment","link","A Decree of the Council of Ministers dated 09.06.2016 №445 ""On the Interdepartmental Council on the formation of a healthy lifestyle, control of noncommunicable diseases, prevention of alcoholism, drug addiction and consumption of tobacco and tobacco products under the Council of Ministers of the Republic of Belarus."
"Belarus","Leadership, awareness and commitment","link","A Decree of the Council of Ministers dated 14.03.2016 №200 on approval of the State program ""Health of the Nation and the demographic security of the Republic of Belarus"" 2016–2020."
"Belgium","","","Developing a new alcohol strategy for the period 2017-2025. The process includes all relevant authorities (health, economy, transport, regions and communities)."
"France","Leadership, awareness and commitment","link","Rapport de la cour des comptes sur les politiques alcool [Report of the Court of Auditors on policies against harmful consumption of alcohol]."
"Israel","Leadership, awareness and commitment","","The Alcohol National Strategy Programme was audited by the government auditor office."
"Latvia","Drink-driving policies and countermeasures","link","An audio visual campaign was carried out informing about dangers of driving under alcohol intoxication:"
"Lithuania","Leadership, awareness and commitment","link","Launch of an action plan to address alcohol-related problems and the establishment in Parliament of a permanent Commission for the Prevention of Drug and Alcohol Addiction."
"Lithuania","Drink-driving policies and countermeasures","link","Introduction of a zero tolerance (0.00 g/litre BAC level ) for drinking and driving for novice drivers, professional drivers (taxis and other commercial transport drivers) and drivers of mopeds, three- wheeled vehicles, ATVs, motorcycles.  Heavy drink driving is now criminalized."
"Lithuania","Availability of alcohol","","Adoption of a law which allows municipalities to introduce a ban on the trading and consumption of alcohol at public events in 2004. More than 30% of municipalities have adopted such bans in 2016"
"Lithuania","Availability of alcohol","link","Ban on the sale of alcoholic beverages in petrol stations (came in to force on 1 January 2016)"
"Lithuania","Marketing of alcoholic beverages","link","Prohibition to advertise alcoholic beverage price reductions, organization of not only competitions but also games, discount campaigns, or lotteries that could encourage purchase and/or consumption of alcoholic beverages (came in to force on 1 November 2016)"
"Lithuania","Pricing policies","link","Launch of a plan to increase excise duty for four years."
