"Country","Action Area","2010"
"Afghanistan","","No data"
"Bahrain","","No data"
"Djibouti","","No milestones reported"
"Egypt","","No milestones reported"
"Iran (Islamic Republic of)","","No milestones reported"
"Iraq","","No data"
"Jordan","","No data"
"Kuwait","","No data"
"Lebanon","","No milestones reported"
"Libya","","No data"
"Morocco","Leadership, awareness and commitment","Developed a strategic guidance document for a national alcohol policy and its actions with the support of WHO. Integrated measures and actions to prevent the consumption of alcohol and its risks in the national strategic plan for cancer control."
"Morocco","Drink-driving policies and countermeasures","Reinforced the annual and occasional media campaigns carried out by the Ministry of Transport relating to road accidents."
"Oman","Leadership, awareness and commitment","Mass media campaigns."
"Pakistan","","No milestones reported"
"Qatar","","No milestones reported"
"Saudi Arabia","","No data"
"Somalia","","No data"
"Sudan","","No data"
"Syrian Arab Republic","","No data"
"Tunisia","","No milestones reported"
"United Arab Emirates","","No data"
"Yemen","","No data"
